Mode,control_type,control_hour,control_hour_label,case_hour,case_hour_label,MH_numerator,MH_denominator,strata_count,min_cluster_or,max_cluster_or,MH_OR,A,B,C,D,collapsed_paired_rows,collapsed_pooled_OR,abs_pct_diff_vs_collapsed
Cars,Daylight,9,09:00-09:59,18,18:00-18:59,302293.71674960887,338480.9982482321,3,0.8756461217370874,0.9250639054781831,0.8930891787547718,2089270,1074583,1857376,849629,13542,0.8893733271777542,0.41780560125511
Cars,Daylight,9,09:00-09:59,19,19:00-19:59,303879.56662704377,356112.2556693185,3,0.8008968768561558,0.8596330678903389,0.8533252135787845,1201020,1391667,1365450,1341555,13542,0.8479057704478231,0.6391562977686946
Cars,Daylight,9,09:00-09:59,20,20:00-20:59,248941.1756134183,269991.7141275042,3,0.8810024924373674,0.9355037975322483,0.9220326498458962,666102,1471227,896345,1810660,13542,0.9145822289543515,0.8146255914094027
Cars,Daylight,10,10:00-10:59,5,05:00-05:59,211606.17390964544,151207.22007989828,3,0.7198173791259552,1.4797342911501137,1.3994449061217566,522544,450042,1276635,1553931,13542,1.413301445893413,0.9804376703865179
Cars,Daylight,10,10:00-10:59,6,06:00-06:59,304372.45819405577,191824.4050865507,3,1.537794034113932,1.7386005723338054,1.5867243693873212,1428083,506369,1806114,1024452,13542,1.5996788198208811,0.8098157125697552
Cars,Daylight,10,10:00-10:59,17,17:00-17:59,190032.32823576982,206869.61982501144,3,0.8340384538091938,0.9361862952026839,0.9186091626045235,3108844,551951,2433642,396924,13542,0.9186478709791623,0.00421362481334226
Cars,Daylight,10,10:00-10:59,18,18:00-18:59,304788.99435068073,348929.91345934296,3,0.8469546165448592,0.8993049864057244,0.8734963171513658,2089270,1074583,1956008,874558,13542,0.8693058308695579,0.48204971518667333
Cars,Daylight,10,10:00-10:59,19,19:00-19:59,303735.94978921325,371367.84681240696,3,0.7645307003724744,0.8244077137085059,0.817884349429537,1201020,1391667,1458400,1372166,13542,0.8119792084130459,0.7272527369305744
Cars,Daylight,10,10:00-10:59,20,20:00-20:59,251274.52140980502,280452.8507009754,3,0.8564494831832559,0.9097711310909644,0.8959599475696511,666102,1471227,955867,1874699,13542,0.8879635329151407,0.9005341275962719
Cars,Daylight,11,11:00-11:59,5,05:00-05:59,214115.49854280983,155418.92832676985,3,0.7093520340564721,1.431688635471309,1.3776668057614545,522544,450042,1387137,1659129,13542,1.3887709316594121,0.7995649710704659
Cars,Daylight,11,11:00-11:59,6,06:00-06:59,309734.2603214973,198901.49180103117,3,1.5184538622969042,1.669952769548973,1.557224420575668,1428083,506369,1957664,1088602,13542,1.5682572805727537,0.7035108418598455
Cars,Daylight,11,11:00-11:59,17,17:00-17:59,197437.02184779954,215564.9561171361,3,0.8465926966151064,0.931114366404277,0.9159050033184154,3108844,551951,2620052,426214,13542,0.9162546794114687,0.038163635167228586
Cars,Daylight,11,11:00-11:59,18,18:00-18:59,313405.768590817,363905.3740434858,3,0.840902964834873,0.8731803363073772,0.8612287450126139,2089270,1074583,2114541,931725,13542,0.8566950169744133,0.5292114402873936
Cars,Daylight,11,11:00-11:59,19,19:00-19:59,311286.9892494729,387771.64867282065,3,0.7546316671207632,0.8176345554186446,0.8027585057207706,1201020,1391667,1583858,1462408,13542,0.7968328356554403,0.7436528466420552
Cars,Daylight,11,11:00-11:59,20,20:00-20:59,258115.75289338882,291281.0470055328,3,0.8287179068170376,0.9100620319114101,0.8861398829306121,666102,1471227,1036041,2010225,13542,0.8784737293734656,0.8726673662300711
Cars,Daylight,12,12:00-12:59,5,05:00-05:59,221463.3568052667,153407.12495515385,3,0.7710501944362717,1.4975916309810609,1.4436314928006608,522544,450042,1426237,1786629,13542,1.4544958937865116,0.7469530187237083
Cars,Daylight,12,12:00-12:59,6,06:00-06:59,326862.12856571,199250.00719802378,3,1.5965537402319934,1.8486298456806212,1.640462317478658,1428083,506369,2026055,1186811,13542,1.6520252135148037,0.6999224915910875
Cars,Daylight,12,12:00-12:59,17,17:00-17:59,211788.51781573347,220264.9163356885,3,0.9404851570102575,0.9907089819641638,0.9615172553987819,3108844,551951,2744271,468595,13542,0.9617652015947765,0.025780325133777482
Cars,Daylight,12,12:00-12:59,18,18:00-18:59,331784.5741086374,368356.59119123506,3,0.8959911428997627,0.9233440944816487,0.9007157250415239,2089270,1074583,2199888,1012978,13542,0.8952700276879677,0.6082742843094674
Cars,Daylight,12,12:00-12:59,19,19:00-19:59,326055.10327249893,388511.2849690446,3,0.8050567980941459,0.8531903724738265,0.8392422971664212,1201020,1391667,1635447,1577419,13542,0.8323874113963153,0.8235210763948116
Cars,Daylight,12,12:00-12:59,20,20:00-20:59,267090.94902751787,289873.5255886249,3,0.8561559487767619,0.9457396157451236,0.9214051144724444,666102,1471227,1065044,2147822,13542,0.9130441696654511,0.9157218330474504
Cars,Daylight,13,13:00-13:59,5,05:00-05:59,223454.44401766945,153747.39132375072,3,0.7522955994982711,1.5157638954392292,1.4533868971287711,522544,450042,1458429,1839815,13542,1.46473373218504,0.7746687883907785
Cars,Daylight,13,13:00-13:59,6,06:00-06:59,331145.6020645549,200687.09533749177,3,1.621743617911837,1.748639473006368,1.6500592701671866,1428083,506369,2075704,1222540,13542,1.6610549297139878,0.6619684484904165
Cars,Daylight,13,13:00-13:59,17,17:00-17:59,213858.6104618488,223582.24124056217,3,0.8938468721788951,0.9764125325298242,0.9565098250882491,3108844,551951,2819205,479039,13542,0.957067614084252,0.05828104386716734
Cars,Daylight,13,13:00-13:59,18,18:00-18:59,337405.958890405,372861.64103115397,3,0.8951763129193184,0.9064501783872035,0.9049092793705041,2089270,1074583,2254106,1044138,13542,0.9006129120383908,0.4770492710779853
Cars,Daylight,13,13:00-13:59,19,19:00-19:59,331120.1728772369,392122.62719800475,3,0.7973859437739623,0.8660447736455841,0.844430160134666,1201020,1391667,1672583,1625661,13542,0.8387976771602893,0.6714948226186314
Cars,Daylight,13,13:00-13:59,20,20:00-20:59,269959.6962578658,292925.7888223227,3,0.8552394780057531,0.9485343512115021,0.921597573717256,666102,1471227,1092587,2205657,13542,0.9139932720934678,0.8319866082133025
Cars,Daylight,14,14:00-14:59,5,05:00-05:59,224166.22232367308,156518.46950433444,3,0.7423651388133129,1.4983898575272063,1.4322030047544316,522544,450042,1538968,1914598,13542,1.4445009463791272,0.8513626561147163
Cars,Daylight,14,14:00-14:59,6,06:00-06:59,331708.65756655467,205581.6671429954,3,1.5915375341765228,1.6831916118079608,1.6135128300901906,1428083,506369,2191044,1262522,13542,1.6250779390526013,0.7116648798489629
Cars,Daylight,14,14:00-14:59,17,17:00-17:59,214567.5501573808,229837.4785227269,3,0.8556988037388177,0.942085338300935,0.9335620610550855,3108844,551951,2962092,491474,13542,0.9345454124017583,0.10522242510885838
Cars,Daylight,14,14:00-14:59,18,18:00-18:59,339702.50663022505,384187.6330722392,3,0.8576636825062757,0.8905224031722686,0.8842098948207179,2089270,1074583,2376465,1077101,13542,0.8812103900642705,0.3403846334844763
Cars,Daylight,14,14:00-14:59,19,19:00-19:59,335347.0974134276,402984.4496309388,3,0.7747177551247182,0.8580634732548083,0.8321589027083931,1201020,1391667,1762610,1690956,13542,0.8279249829196402,0.5113893017000336
Cars,Daylight,14,14:00-14:59,20,20:00-20:59,273521.1646569224,300779.82399454265,3,0.8446067723927939,0.9370564780229775,0.9093733782552026,666102,1471227,1153754,2299812,13542,0.902485363314235,0.763227329878507
Cyclists,Dark,0,00:00-00:59,5,05:00-05:59,12155.20308389002,7417.149409710932,3,0.5452565274980682,3.780267611026013,1.6387971190084338,53051,58383,22534,43595,13542,1.757946116950325,6.777738907526368
Cyclists,Dark,0,00:00-00:59,6,06:00-06:59,16950.35088371203,7441.287926742762,3,0.9735939563160313,5.162138867683083,2.277878648236952,192960,64350,34990,31139,13542,2.668575277252024,14.640644854410612
Cyclists,Dark,0,00:00-00:59,17,17:00-17:59,12318.12013551584,6564.023642032953,3,1.3823947647718344,2.0869257981841467,1.8766111774240808,483330,81538,48593,17536,13542,2.139146470845627,12.272899354935868
Cyclists,Dark,0,00:00-00:59,18,18:00-18:59,15062.696645982445,10829.745845929838,3,0.8763081125014958,1.5865367131360821,1.390863355453821,253845,139233,36381,29748,13542,1.4907663226628425,6.701450501683752
Cyclists,Dark,0,00:00-00:59,19,19:00-19:59,14294.199218279922,10390.528852075746,3,0.8955407511530739,1.6047416856260972,1.3756950605477558,136791,147848,25361,40768,13542,1.4872880985720356,7.503121831703064
